trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,0,-12.81464305313908,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",30,0,-98.45304181443846,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,0,-47.71957623033025,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,5.929767594295484,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,0,21.952254028711348,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,0,-38.53074062513696,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",35,12,32.88630495962094,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,12,-8.975418104172174,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,0,-16.78498463234606,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,27.668834928656825,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,12,-4.400019379221136,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,22.042428779444755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",30,0,-6.355741491035424,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,0,23.823435667364265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,0,10.107173972204016,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,17,15.064298533180978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,0,-39.65435700584574,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,1,11.698165248663132,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,0,26.48389657035716,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,-9.977078757893285,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,0,7.835543359113566,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,0,32.54470834455681,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,0,15.178106875529911,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",35,0,-12.170136595199226,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,16.903702891909305,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,0,-3.375278307943,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,0,29.08059768061928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,8.647598058647413,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",35,0,43.01438661719096,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,0,-39.80355861210642,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",30,0,8.216651004355985,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,0,-12.154335720727008,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,0,16.923350484458005,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,6,26.520706438919618,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,0,-38.504207763616776,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,0,31.53334973811336,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,0,25.750915854822267,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,0,23.311972956828054,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,11,17.62393773733021,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
